69 6 2 0 1 1 0
34 1 2 0 10 1 1
24 1 2 4 1 1 1
44 6 2 0 1 2 0
41 3 2 14 6 1 1
43 6 2 3 1 1 0
39 3 1 0 3 2 0
27 3 2 0 1 1 0
23 1 2 3 4 2 1
37 3 1 0 1 2 0
41 1 2 0 1 1 0
47 3 1 1 14 1 1
31 1 2 7 3 1 1
37 4 2 0 0 2 0
25 1 2 3 1 1 0
31 3 2 6 1 1 1
31 3 2 5 1 1 1
64 1 2 13 1 1 1
21 1 2 1 3 1 1
27 3 2 0 0 2 1
21 3 1 0 1 1 0
24 4 2 1 1 1 1
43 3 2 1 1 2 0
32 6 2 0 2 2 0
27 1 2 8 17 1 1
26 1 2 5 1 1 1
33 1 2 0 38 1 1
30 3 2 9 44 1 1
32 1 2 4 1 1 1
55 3 2 0 2 1 0
49 6 2 7 4 1 1
33 3 1 4 11 2 1
24 3 2 1 1 2 1
34 1 2 21 33 1 1
29 3 2 0 0 2 0
21 1 1 2 80 1 0
51 1 2 2 1 2 0
29 3 2 2 1 2 1
51 1 1 7 2 1 0
29 1 2 0 0 1 1
25 3 2 9 7 2 1
35 1 2 13 1 1 1
49 3 2 0 0 2 0
29 1 2 0 0 1 0
29 3 2 1 0 1 1
28 6 1 0 1 1 0
31 1 2 15 136 1 0
24 1 2 2 2 1 1
30 4 2 0 23 2 0
49 1 2 4 1 2 0
53 3 2 8 13 1 0
35 1 2 5 1 1 0
27 1 2 15 1 1 1
38 3 2 4 2 2 1
22 1 2 1 1 1 1
29 1 2 4 19 1 1
62 4 2 0 0 2 0
27 1 2 6 30 1 1
33 6 2 0 1 2 0
56 1 1 0 3 2 0
45 4 2 6 242 1 1
22 4 2 1 1 1 0
39 1 2 1 5 2 0
29 1 2 5 1 1 1
27 3 2 1 14 1 1
40 1 2 2 3 1 0
22 1 2 1 17 2 1
22 3 2 0 58 1 0
26 1 1 1 2 1 1
32 1 2 0 1 1 0
41 1 2 1 2 2 0
30 1 2 8 1 2 1
50 6 2 0 1 1 1
25 1 2 14 7 1 1
20 6 2 0 1 1 1
22 1 2 2 30 1 1
35 1 1 1 1 2 0
36 1 2 9 4 1 1
26 3 2 7 0 1 1
21 6 2 1 4 1 1
25 3 2 9 1 1 1
20 3 1 0 1 1 0
39 3 2 2 0 1 1
54 3 1 0 0 2 0
44 4 1 0 1 2 0
19 1 2 1 9 2 1
30 1 2 1 1 1 0
39 3 1 0 2 1 1
24 3 2 8 12 1 1
30 3 2 0 6 1 0
31 3 2 0 39 2 0
39 3 1 1 107 1 0
43 3 2 1 1 1 0
21 1 2 3 6 1 1
38 3 2 5 3 2 1
34 3 2 0 15 1 0
33 1 2 5 0 1 1
37 1 2 3 1 1 0
42 3 2 1 1 1 1
41 1 2 10 176 1 1
22 1 2 0 1 1 1
33 1 2 28 2 1 1
31 1 2 1 1 2 0
30 6 1 1 1 1 0
31 3 2 13 471 1 1
27 1 2 3 1 1 1
52 3 2 3 1 2 0
33 1 2 19 1 1 1
42 3 2 6 0 1 0
25 3 1 2 3 1 0
30 3 2 1 4 2 0
37 6 1 2 2 2 0
28 3 2 0 1 2 1
24 1 1 0 2 2 0
29 3 1 10 7 1 1
44 3 2 2 0 2 1
32 1 2 3 8 1 1
31 3 2 2 15 2 1
31 1 2 1 1 2 0
59 3 2 1 1 1 1
20 1 1 1 3 1 0
43 3 1 0 1 2 0
38 1 2 9 13 1 1
32 1 2 11 1 1 1
33 1 2 8 1 2 1
31 1 1 0 2 1 1
33 1 1 7 26 1 1
27 1 2 2 1 1 1
20 1 1 0 0 1 0
26 3 1 0 1 2 0
61 1 1 1 1 1 1
52 6 2 13 2 1 1
63 4 2 1 15 1 0
32 1 1 4 7 1 1
29 4 2 1 1 1 0
26 1 1 2 1 2 1
39 3 2 1 4 2 0
30 3 1 3 530 1 1
30 1 2 1 70 1 0
48 3 2 2 1 2 0
22 1 2 1 1 1 0
46 3 2 6 23 1 1
31 3 2 0 2 1 0
25 1 2 1 2 2 1
23 4 2 0 0 1 0
32 1 1 5 1 1 0
52 4 2 2 3 2 0
62 1 2 8 16 1 0
31 4 2 8 117 1 1
28 1 2 6 1 2 1
54 4 2 2 188 1 0
58 4 2 0 1 1 0
78 3 2 1 1 2 1
56 3 2 0 1 1 0
24 6 2 0 2 1 0
22 1 2 1 0 1 1
47 1 2 23 1 2 1
23 1 2 0 1 2 1
57 4 2 1 20 1 0
66 1 2 3 2 1 0
45 3 2 8 71 2 1
37 1 2 2 0 2 1
39 3 2 0 1 1 1
26 1 2 9 79 1 1
45 3 2 2 359 1 0
23 1 2 0 1 1 1
34 1 2 2 26 2 0
23 1 1 1 1 2 0
36 6 2 2 3 2 1
50 3 2 1 2 1 0
37 3 1 0 0 2 0
44 3 2 4 1 2 0
35 1 1 23 2 1 1
24 6 2 5 1 1 1
26 1 2 2 1 1 1
27 1 2 0 3 2 0
28 1 1 0 29 1 0
28 3 1 7 1 1 1
38 1 2 2 1 1 0
28 1 1 1 39 1 0
56 3 2 7 1 1 1
38 1 2 15 2 1 0
28 1 2 2 1 2 0
51 3 1 0 1 2 1
51 3 2 0 1 2 0
36 6 2 1 1 2 1
48 1 2 0 1 1 0
37 3 2 4 2 1 1
30 1 1 2 3 1 0
41 1 1 5 0 2 0
27 1 2 11 223 1 1
37 1 2 0 2 2 0
33 6 2 4 2 1 1
54 1 2 11 130 1 0
23 1 2 2 72 1 0
41 1 2 0 1 2 0
52 3 2 0 1 1 0
